CRN,Course,Title,Distribution,Time,Professor1,Professor2,Location,Day
14013,FREN 314 - 01,Cinematic Hist. post-WW II,"ARS, LL",09:50 am - 11:00 am,Codruta Morari,,None,TF
14012,FREN 323 - 01,"Liberty, Equality, Sexualities",LL,04:10 pm - 05:20 pm,Scott Gunther,,None,MR
13171,GEOS 101 - 01,Earth Processes&Environ w/LAB,"NPS, QRF",09:50 am - 11:00 am,Daniel Brabander,,None,MR
13172,GEOS 101 - L01,LAB: Earth Processes&Environ,"NPS, QRF",01:00 pm - 04:00 pm,Kathleen Gilbert,,None,M
13266,GEOS 101 - L02,LAB: Earth Processes&Environ,"NPS, QRF",02:15 pm - 05:15 pm,Maria Waller,,None,W
12193,GEOS 102 - 01,The Dynamic Earth w/Lab,NPS,09:50 am - 11:00 am,James Besancon,,None,TF
12191,GEOS 102 - L01,LAB: The Dynamic Earth,NPS,01:00 pm - 04:00 pm,Kathleen Gilbert,,None,T
12196,GEOS 102 - L02,LAB: The Dynamic Earth,NPS,01:00 pm - 04:00 pm,Maria Waller,,None,R
14077,GEOS 120 - 01,Planetary Habitability w/Lab,"MM, NPS",01:30 pm - 04:00 pm,Kim McLeod,; Daniel Brabander,None,MR
14015,GEOS 210 - 01,Hydrogeology w/Lab,"MM, NPS",11:10 am - 12:20 pm,James Besancon,,None,MR
14016,GEOS 210 - L01,LAB: Hydrogeology,"MM, NPS",01:00 pm - 04:00 pm,James Besancon,,None,R
14088,GEOS 220 - 01,Volcanoes w/Lab,NPS,08:30 am - 11:00 am,David Hawkins,,None,MR
14017,GEOS 304 - 01,Sedimentology with Laboratory,NPS,11:10 am - 12:20 pm,Katrin Monecke,,None,TF
14018,GEOS 304 - L01,LAB: Sedimentology,NPS,01:00 pm - 04:00 pm,Katrin Monecke,,None,T
10156,GER 101 - 01,Beginning German I,None,09:50 am - 11:00 am,None,,None,TWF
10153,GER 101 - 02,Beginning German I,None,11:10 am - 12:20 pm,None,,None,TWF
10138,GER 201 - 01,Intermediate German I,None,11:10 am - 12:20 pm,Thomas Nolden,,None,TWF
11164,GER 201 - 02,Intermediate German I,None,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Thomas Nolden,,None,TF; W
14156,GER 229 - 01,Germany in a Global Context,LL,01:30 pm - 02:40 pm,Anjeana Hans,,None,MR
14019,GER 231 - 01,Fairy Tales & German Culture,LL,09:50 am - 11:00 am,Anjeana Hans,,None,MWR
14020,GER 329 - 01,German in a Global Context,LL,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Anjeana Hans,,None,MR; W
10194,GRK 101 - 01,Beginning Greek I,None,08:50 am - 09:40 am,Carol Dougherty,,None,TWRF
11579,GRK 201 - 01,Athenian Literature,LL,09:50 am - 11:00 am; 10:10 am - 11:00 am,Carol Dougherty,,None,TF; W
14021,GRK 304 - 01,Sophocles,LL,01:30 pm - 02:40 pm,Catherine Gilhuly,,None,TF
10056,HEBR 101 - 01,Elementary Hebrew I,None,09:50 am - 11:00 am,Gil Chalamish,,None,MWR
10119,HEBR 201 - 01,Intermediate Hebrew I,None,11:10 am - 12:20 pm,Gil Chalamish,,None,MWR
14087,HIST 114 - 01,FYS: American Hauntings,HS,02:15 pm - 04:45 pm,Katherine Grandjean,,None,W
14023,HIST 115 - 01,FYS: Routes of Exile,HS,02:15 pm - 04:45 pm,Frances Malino,,None,W
14024,HIST 200 - 01,Roots of the Western Tradition,"HS, REP",01:30 pm - 02:40 pm,Guy Rogers,,None,TF
11125,HIST 205 - 01,Making of the Modern World,HS,01:30 pm - 02:40 pm,Yoshihisa Matsusaka,,None,MR
14025,HIST 208 - 01,Society/CultureMedieval Europe,HS,11:10 am - 12:20 pm,Valerie Ramseyer,,None,MR
13194,HIST 245 - 01,History of Am. Capitalism,HS,09:50 am - 11:00 am,Ryan Quintana,,None,TF
14026,HIST 247 - 01,Russia Under the Romanovs,HS,11:10 am - 12:20 pm,Nina Tumarkin,,None,TF
14027,HIST 249 - 01,The Cold War United States,HS,09:50 am - 11:00 am,Brenna Greer,,None,TF
14028,HIST 256 - 01,Colonial America,HS,01:30 pm - 02:40 pm,Katherine Grandjean,,None,MR
14029,HIST 265 - 01,History of Modern Africa,HS,11:10 am - 12:20 pm,Lidwien Kapteijns,,None,TF
13687,HIST 267 - 01,Deep in the Heart: Am.South,HS,01:30 pm - 02:40 pm,Ryan Quintana,,None,TF
11301,HIST 274 - 01,"China,Japan,Korea&Global Persp",HS,04:10 pm - 05:20 pm,Yoshihisa Matsusaka,,None,MR
14030,HIST 276 - 01,The City in South Asia,HS,06:00 pm - 08:30 pm,Nikhil Rao,,None,T
14031,HIST 278 - 01,Reform & Revolution in China,HS,09:50 am - 11:00 am,C. Pat Giersch,,None,MR
14032,HIST 284 - 01,Middle East in Modern History,HS,02:50 pm - 04:00 pm,Lidwien Kapteijns,,None,TF
11829,HIST 302 - 01,Sem: WorldWarII as Memory&Myth,HS,02:50 pm - 05:20 pm,Nina Tumarkin,,None,R
14034,HIST 340 - 01,Blacks in US Visual Culture,HS,09:50 am - 12:20 pm,Brenna Greer,,None,W
14035,HIST 383 - 01,Sem: Partition in South Asia,HS,02:50 pm - 05:20 pm,Nikhil Rao,,None,M
11403,HNUR 101 - 01,Elementary Hindi/Urdu,None,08:30 am - 09:40 am,Neelima Shukla-Bhatt,,None,TWF
11404,HNUR 201 - 01,Intermediate Hindi/Urdu,None,08:30 am - 09:40 am; 12:30 pm - 01:20 pm,Richard Delacy,,None,MR; R
10938,ITAS 101 - 01,Beginning Italian 1,None,08:30 am - 09:40 am,Flavia Laviosa,,None,MWR
10939,ITAS 101 - 02,Beginning Italian 1,None,11:10 am - 12:20 pm,Francesca Southerden,,None,TWF
11246,ITAS 103 - 01,Intensive Italian 1,None,04:10 pm - 05:20 pm,Daniela Bartalesi-Graf,,None,MWR
14042,ITAS 104 - 01,FYS: Cities of Italy,LL,09:50 am - 11:00 am,Sergio Parussa,,None,TF
10940,ITAS 201 - 01,Intermediate Italian I,None,09:50 am - 11:00 am,Flavia Laviosa,,None,MWR
14041,ITAS 201 - 02,Intermediate Italian I,None,08:30 am - 09:40 am,Sergio Parussa,,None,TWF
14043,ITAS 270 - 01,Italy in the 21st Century,LL,08:30 am - 09:40 am,David Ward,,None,TF
14089,ITAS 275 - 01,Desire from Dante to Milton,LL,02:50 pm - 04:00 pm,Francesca Southerden,,None,TF
14045,ITAS 349 - 01,Sem:The Function of Narrative,LL,01:30 pm - 04:00 pm,David Ward,,None,T
10201,JPN 101 - 01,Beginning Japanese I,None,08:30 am - 09:40 am,Eiko Torii-Williams,,None,MTRF
10202,JPN 101 - 02,Beginning Japanese I,None,09:50 am - 11:00 am,Eiko Torii-Williams,,None,MTRF
10203,JPN 201 - 01,Intermediate Japanese I,None,11:10 am - 12:20 pm,Yoshimi Maeno,,None,MTRF
14040,JPN 201 - 02,Intermediate Japanese I,None,01:30 pm - 02:40 pm,None,,None,MTRF
14148,JPN 207 - 01,Short-Form Nonfiction,LL,09:50 am - 11:00 am,James Wallenstein,; Robert Goree,None,MR
10199,JPN 231 - 01,Selectd Read'gs Adv Japanese I,LL,01:30 pm - 02:40 pm; 02:15 pm - 03:25 pm,Yoshimi Maeno,,None,MR; W
14163,JPN 251 - 01,Jpn Writers&Their Worlds(Eng),"ARS, LL",09:50 am - 11:00 am,Carolyn Morley,,None,TF
13783,JPN 280 - 01,Japanese Pop Culture,"ARS, LL",02:50 pm - 04:00 pm,Robert Goree,,None,MR
14164,JPN 351 - 01,Sem:Theaters of Japan (Eng),"ARS, LL",02:15 pm - 04:45 pm,Carolyn Morley,,None,W
14161,JPN 355 - 01,JpnWriters&Their Worlds ,LL,09:50 am - 12:20 pm; 09:50 am - 11:00 am,Carolyn Morley,,None,T; F
14090,JWST 220 - 01,The Image of the Immigrant ,LL,11:10 am - 12:20 pm,None,,None,TF
11265,KOR 101 - 01,Beginning Korean,None,08:30 am - 09:40 am,Seok Bae Jang,,None,MTRF
11266,KOR 201 - 01,Intermediate Korean,None,09:50 am - 11:00 am,Sun-Hee Lee,,None,MTRF
11668,KOR 231 - 01,Advanced Intermediate Korean I,LL,11:10 am - 12:20 pm,Seok Bae Jang,,None,TF
